item_code,name,units,mrp,cost,stock
100002439.0,Casio Calculator Fx100Ms,PCS,49.0,0.0,3.0
100002440.0,Casio Calculator-Fx 82Ms,PCS,35.0,0.0,0.0
100016674.0,Casio Calculator-Fx 350Ms,PCS,38.0,0.0,0.0
100018000.0,Casio Scientific Calculator-Fx350,PCS,36.75,0.0,0.0
100034833.0,Casio Calculator Fx991Ms,PCS,62.0,0.0,0.0
100051377.0,Casio Scientific Calculator Fx350Ms,PCS,45.0,0.0,0.0
100085296.0,Casio Scientific Calculator Fx350Es Plus,PCS,44.0,0.0,0.0
100091297.0,Casio Calculator Heavy Ds2B,PCS,110.0,0.0,0.0
100091298.0,Casio Calculator Fx991Es Plus,PCS,68.0,0.0,0.0
100099490.0,Kenko Calculator Kk 837B,PCS,12.0,0.0,0.0
100099491.0,Oreva Calculator Or512,PCS,15.0,0.0,0.0
100111742.0,Fis 12 Digits Destop Calculator Fscacd-,PCS,30.0,0.0,0.0
100115542.0,Casio Calculator Fx100Ms,PCS,58.0,0.0,0.0
100002444.0,Orpat Alarm Clock Tbb207,PCS,20.0,0.0,0.0
100002446.0,Orpat Alarm Clock Tbb127,PCS,19.0,0.0,0.0
100002447.0,Orpat Alarm Clock Tbb137,PCS,15.0,0.0,0.0
100002448.0,Orpat Alarm Clock Tbzl 617,PCS,17.0,0.0,0.0
100002449.0,Orpat Alarm Clockt Tbzl167,PCS,15.0,0.0,0.0
100014840.0,Orpat Alarm Clock Tbzl 607,PCS,13.0,0.0,0.0
100025245.0,Orpat Alarm Clock Tbm647,PCS,18.0,0.0,0.0
100026068.0,Orion Time Piece 617/207,PCS,18.9,0.0,0.0
100026069.0,Orion Time Piece 407/437,PCS,15.75,0.0,0.0
100026071.0,Orpat Time Piece Tbb157,PCS,13.65,0.0,0.0
100034569.0,Orpat Alarm Clock Tbb407,PCS,19.0,0.0,0.0
100045684.0,Reeon Alarm Clock 6102,PCS,15.75,0.0,0.0
100045689.0,Casio Deep Alarm Tq142,PCS,26.25,0.0,0.0
100051391.0,Orpat Alarm Clock Tbb847,PCS,21.0,0.0,0.0
100062117.0,Orpat Alarm Clock Tbb427A,PCS,18.0,0.0,0.0
100064099.0,Orpat Alarm Clock Tbzl367,PCS,19.95,0.0,0.0
100082174.0,Bo Sheng Alaram Clock  2839,PCS,17.0,0.0,0.0
100092046.0,Oreva Alarm Clock 3007,PCS,15.0,0.0,1.0
100098840.0,Reeon Alarm Clock 335,PCS,26.25,0.0,0.0
100115580.0,Oreva Alarm Clock Aa3447,PCS,14.0,0.0,0.0
100115581.0,Oreva Alarm Clock Aa3117,PCS,20.0,0.0,0.0
100026070.0,Sonam Azan Clock 2397 7In1,PCS,19.45,0.0,0.0
100000536.0,Geepas Wall Clock Gwc3390,PCS,30.0,0.0,0.0
100007634.0,Orient Wall Clock-Ts 072,PCS,30.0,0.0,0.0
100007638.0,Pearl Wall Clock-Pw 079,PCS,44.1,0.0,0.0
100007639.0,Pearl Wall Clock-Ll,PCS,25.0,0.0,0.0
100007642.0,Pearl Wall Clock-Md,PCS,40.0,0.0,0.0
100007643.0,Pearl Wall Clock-Pw 016,PCS,40.0,0.0,0.0
100007650.0,Pearl Wall Clock,PCS,30.0,0.0,0.0
100017137.0,Ajanta Wall Clock-1997,PCS,20.0,0.0,0.0
100017804.0,Geepas Wall Clock Gwc 3391,PCS,37.8,0.0,0.0
100019493.0,Pearl Wall Clock Ml,PCS,42.0,0.0,0.0
100026055.0,Happy Time Fancy Clock Mr2063,PCS,8.4,0.0,0.0
100026453.0,Geepas Wall Clock Gwc3386,PCS,34.65,0.0,0.0
100028647.0,Pearl Wall Clock Pw210,PCS,38.85,0.0,0.0
100028648.0,Orpat Ajanta Wall Clock 497,PCS,23.1,0.0,0.0
100028649.0,Orpat Ajanta Wall Clock 257,PCS,47.25,0.0,0.0
100028693.0,Orpat Ajanta Wall Clock 2467,PCS,23.1,0.0,0.0
100048680.0,Sonera Wall Clock 2041,PCS,20.0,0.0,0.0
100067421.0,Sonam Digital Clock Slc11017,PCS,65.0,0.0,0.0
100067422.0,Sonam Wall Clock 797,PCS,45.0,0.0,0.0
100067423.0,Pearl Wall Clock Round,PCS,35.0,0.0,0.0
100067424.0,Quartz Wall Clock Hq3268,PCS,25.0,0.0,0.0
100077658.0,Wall Clock 2097,PCS,28.0,0.0,0.0
100077717.0,Opexy Wall Clock 717,PCS,32.0,0.0,0.0
100079640.0,Opexy Wall Clock 317,PCS,21.0,0.0,0.0
100085770.0,Orpat Ajanta Wall Clock 321,PCS,20.0,0.0,0.0
100085771.0,Opexy Wall Clock A1,PCS,28.0,0.0,0.0
100086335.0,Opexy Wall Clock A3,PCS,55.0,0.0,0.0
100092079.0,Opexy Wall Clock 2817,PCS,25.0,0.0,0.0
100096941.0,Oreva Wall Clock Aq1057,PCS,24.0,0.0,0.0
100099487.0,Oreva Wall Clock Aq1567,PCS,20.0,0.0,0.0
100099488.0,Oreva Wall Clock Aq1277,PCS,25.0,0.0,0.0
100099489.0,Oreva Wall Clock Aq1187,PCS,20.0,0.0,0.0
